Delta_t_ms,Kernel
-20.0000,6.0798238916082470e-01
-19.9600,6.1458853497909605e-01
-19.9200,6.2126646110441408e-01
-19.8800,6.2801694747906378e-01
-19.8400,6.3484078251994236e-01
-19.8000,6.4173876321063505e-01
-19.7600,6.4871169519450111e-01
-19.7200,6.5576039286876808e-01
-19.6800,6.6288567947964783e-01
-19.6400,6.7008838721848729e-01
-19.6000,6.7736935731896331e-01
-19.5600,6.8472944015533388e-01
-19.5200,6.9216949534175687e-01
-19.4800,6.9969039183268700e-01
-19.4400,7.0729300802436768e-01
-19.4000,7.1497823185741649e-01
-19.3600,7.2274696092053958e-01
-19.3200,7.3060010255535512e-01
-19.2800,7.3853857396237532e-01
-19.2400,7.4656330230812273e-01
-19.2000,7.5467522483342042e-01
-19.1600,7.6287528896285672e-01
-19.1200,7.7116445241543718e-01
-19.0800,7.7954368331644441e-01
-19.0400,7.8801396031050130e-01
-19.0000,7.9657627267588216e-01
-18.9600,8.0523162044004237e-01
-18.9200,8.1398101449642768e-01
-18.8800,8.2282547672252915e-01
-18.8400,8.3176604009924338e-01
-18.8000,8.4080374883150777e-01
-18.7600,8.4993965847026831e-01
-18.7200,8.5917483603575051e-01
-18.6800,8.6851036014209193e-01
-18.6400,8.7794732112330998e-01
-18.6000,8.8748682116065003e-01
-18.5600,8.9712997441131248e-01
-18.5200,9.0687790713858019e-01
-18.4800,9.1673175784336158e-01
-18.4400,9.2669267739715400e-01
-18.4000,9.3676182917646889e-01
-18.3600,9.4694038919869572e-01
-18.3200,9.5722954625946544e-01
-18.2800,9.6763050207148560e-01
-18.2400,9.7814447140489824e-01
-18.2000,9.8877268222915604e-01
-18.1600,9.9951637585644260e-01
-18.1200,1.0103768070866499e+00
-18.0800,1.0213552443539320e+00
-18.0400,1.0324529698748499e+00
-18.0000,1.0436712797981269e+00
-17.9600,1.0550114843560339e+00
-17.9200,1.0664749080174130e+00
-17.8800,1.0780628896423656e+00
-17.8400,1.0897767826386331e+00
-17.8000,1.1016179551196565e+00
-17.7600,1.1135877900643689e+00
-17.7200,1.1256876854787183e+00
-17.6800,1.1379190545589470e+00
-17.6400,1.1502833258566441e+00
-17.6000,1.1627819434455906e+00
-17.5600,1.1754163670904239e+00
-17.5200,1.1881880724171188e+00
-17.4800,1.2010985510853474e+00
-17.4400,1.2141493109626786e+00
-17.4000,1.2273418763007065e+00
-17.3600,1.2406777879130548e+00
-17.3200,1.2541586033553531e+00
-17.2800,1.2677858971071365e+00
-17.2400,1.2815612607557421e+00
-17.2000,1.2954863031821950e+00
-17.1600,1.3095626507491160e+00
-17.1200,1.3237919474906761e+00
-17.0800,1.3381758553045970e+00
-17.0400,1.3527160541462697e+00
-17.0000,1.3674142422249427e+00
-16.9600,1.3822721362020840e+00
-16.9200,1.3972914713918549e+00
-16.8800,1.4124740019638076e+00
-16.8400,1.4278215011477384e+00
-16.8000,1.4433357614408122e+00
-16.7600,1.4590185948168990e+00
-16.7200,1.4748718329382104e+00
-16.6800,1.4908973273692252e+00
-16.6400,1.5070969497929381e+00
-16.6000,1.5234725922294694e+00
-16.5600,1.5400261672570286e+00
-16.5200,1.5567596082353052e+00
-16.4800,1.5736748695312650e+00
-16.4400,1.5907739267474168e+00
